phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseA,RandomPerspective,0.2258,0.3989,42,0,38.4,2.477784,67.6,57.3778,1.638759,40,39,False,45.32,2025-12-27T03:46:44,,37.8333
PhaseA,RandomPerspective,0.014,0.1133,42,0,39.3,2.478931,69.5,59.9333,1.50441,40,40,False,41.33,2025-12-27T03:47:25,,38.4333
PhaseA,RandomPerspective,0.0952,0.4198,42,0,37.1,2.522951,68.0,58.3556,1.588689,40,39,False,45.74,2025-12-27T03:48:11,,36.5
PhaseA,RandomPerspective,0.2571,0.2172,42,0,38.9,2.478259,68.7,56.9444,1.642967,40,39,False,43.08,2025-12-27T03:48:54,,38.3667
PhaseA,RandomPerspective,0.3033,0.5584,42,0,36.1,2.504881,68.3,53.7,1.75797,40,39,False,47.44,2025-12-27T03:49:42,,35.9
PhaseA,RandomPerspective,0.1412,0.3294,42,0,36.9,2.502091,67.0,57.6778,1.619992,40,40,False,44.27,2025-12-27T03:50:26,,36.2
PhaseA,RandomPerspective,0.1026,0.3576,42,0,38.3,2.464444,69.1,57.1444,1.624498,40,38,False,44.58,2025-12-27T03:51:11,,38.1
PhaseA,RandomPerspective,0.3404,0.155,42,0,38.3,2.523828,67.3,58.1111,1.598481,40,40,False,40.96,2025-12-27T03:51:52,,37.2667
PhaseA,RandomPerspective,0.2992,0.4957,42,0,36.0,2.516543,68.2,53.2889,1.769651,40,39,False,45.93,2025-12-27T03:52:38,,35.9333
PhaseA,RandomPerspective,0.061,0.2667,42,0,37.2,2.481239,67.4,59.3111,1.540442,40,40,False,43.46,2025-12-27T03:53:21,,36.7333
PhaseA,RandomPerspective,0.0297,0.5695,42,0,38.5,2.493104,67.2,58.7444,1.570946,40,39,False,47.52,2025-12-27T03:54:09,,38.0333
PhaseA,RandomPerspective,0.218,0.318,42,0,36.1,2.518238,68.6,57.5222,1.645204,40,39,False,44.83,2025-12-27T03:54:54,,35.7
PhaseA,RandomPerspective,0.3716,0.4617,42,0,36.7,2.527321,67.2,55.4222,1.693289,40,40,False,46.6,2025-12-27T03:55:40,,36.1333
PhaseA,RandomPerspective,0.1839,0.176,42,0,38.6,2.445391,68.9,59.8111,1.541741,40,40,False,42.12,2025-12-27T03:56:23,,37.7
PhaseA,RandomPerspective,0.1925,0.4476,42,0,37.7,2.530389,67.0,57.4222,1.62606,40,40,False,46.21,2025-12-27T03:57:09,,37.0333
PhaseA,RandomPerspective,0.3551,0.1903,42,0,36.6,2.492148,68.2,55.9778,1.673683,40,39,False,43.87,2025-12-27T03:57:53,,36.3667
PhaseA,RandomPerspective,0.2093,0.5854,42,0,36.7,2.492201,68.2,55.2,1.701799,40,39,False,49.81,2025-12-27T03:58:43,,36.3333
PhaseA,RandomPerspective,0.0462,0.3017,42,0,38.2,2.444287,69.5,61.2333,1.493783,40,40,False,44.95,2025-12-27T03:59:28,,37.3667
PhaseA,RandomPerspective,0.065,0.4795,42,0,38.3,2.474309,68.5,61.7333,1.505737,40,40,False,47.84,2025-12-27T04:00:16,,37.7667
PhaseA,RandomPerspective,0.2779,0.2827,42,0,34.6,2.573431,65.6,54.5889,1.73029,40,40,False,44.08,2025-12-27T04:01:00,,33.7
PhaseA,RandomPerspective,0.3364,0.372,42,0,35.9,2.549402,66.5,53.9778,1.75279,40,39,False,44.59,2025-12-27T04:01:45,,35.4
PhaseA,RandomPerspective,0.1237,0.141,42,0,39.3,2.434706,70.0,59.4889,1.535597,40,39,False,42.17,2025-12-27T04:02:27,,38.7333
PhaseA,RandomPerspective,0.1325,0.5422,42,0,36.1,2.578604,65.1,54.4444,1.732185,40,39,False,48.9,2025-12-27T04:03:16,,35.5
PhaseA,RandomPerspective,0.3199,0.3454,42,0,36.0,2.514477,68.0,53.8111,1.757359,40,38,False,45.04,2025-12-27T04:04:01,,35.9667
PhaseA,RandomPerspective,0.2658,0.4342,42,0,39.1,2.493522,68.0,54.6,1.742578,40,39,False,46.02,2025-12-27T04:04:47,,37.8333
PhaseA,RandomPerspective,0.0787,0.2032,42,0,38.6,2.499367,68.6,58.0333,1.58335,40,39,False,40.87,2025-12-27T04:05:28,,37.8667
PhaseA,RandomPerspective,0.01,0.3848,42,0,39.0,2.492669,68.4,60.2778,1.523767,40,40,False,43.71,2025-12-27T04:06:12,,38.3667
PhaseA,RandomPerspective,0.247,0.1275,42,0,37.3,2.464962,69.2,58.3222,1.609627,40,39,False,39.79,2025-12-27T04:06:52,,36.8333
PhaseA,RandomPerspective,0.3887,0.5231,42,0,35.9,2.538817,66.6,52.5111,1.801742,40,40,False,45.2,2025-12-27T04:07:37,,35.6333
PhaseA,RandomPerspective,0.1512,0.2394,42,0,38.2,2.473853,67.2,57.2333,1.636122,40,39,False,41.67,2025-12-27T04:08:19,,37.9333
PhaseA,ColorJitter,0.4448,0.7886,42,0,35.4,2.526328,68.2,50.0667,1.904812,40,40,False,44.6,2025-12-27T04:09:03,,34.8
PhaseA,ColorJitter,0.8693,0.4868,42,0,33.9,2.692447,63.8,41.7333,2.271509,40,39,False,41.9,2025-12-27T04:09:45,,33.4333
PhaseA,ColorJitter,0.5516,0.6587,42,0,35.8,2.581805,65.0,46.9556,2.024323,40,39,False,43.55,2025-12-27T04:10:29,,35.1
PhaseA,ColorJitter,0.128,0.3159,42,0,36.8,2.47886,68.3,59.3778,1.561631,40,40,False,40.33,2025-12-27T04:11:09,,36.6
PhaseA,ColorJitter,0.2905,0.6838,42,0,37.5,2.440352,68.3,54.3444,1.724385,40,39,False,43.64,2025-12-27T04:11:53,,36.7
PhaseA,ColorJitter,0.6142,0.4406,42,0,35.0,2.629175,65.0,44.2111,2.122108,40,37,False,41.67,2025-12-27T04:12:35,,34.8
PhaseA,ColorJitter,0.7067,0.8501,42,0,32.8,2.682136,63.3,40.8667,2.298266,40,39,False,45.69,2025-12-27T04:13:21,,31.8333
PhaseA,ColorJitter,0.3824,0.5752,42,0,37.4,2.481383,67.6,54.0222,1.758638,40,40,False,43.89,2025-12-27T04:14:05,,36.5667
PhaseA,ColorJitter,0.3051,0.6091,42,0,38.2,2.486561,67.6,52.1444,1.808233,40,38,False,46.11,2025-12-27T04:14:51,,37.7333
PhaseA,ColorJitter,0.7808,0.366,42,0,35.1,2.589355,64.6,46.6111,2.043034,40,40,False,43.39,2025-12-27T04:15:34,,34.7667
PhaseA,ColorJitter,0.6983,0.7748,42,0,34.0,2.702804,62.6,42.4111,2.240422,40,40,False,46.91,2025-12-27T04:16:21,,32.9667
PhaseA,ColorJitter,0.222,0.5,42,0,36.7,2.461389,68.6,56.9222,1.643892,40,39,False,44.25,2025-12-27T04:17:06,,36.4
PhaseA,ColorJitter,0.1594,0.8634,42,0,37.3,2.455166,68.7,58.4667,1.585978,40,40,False,47.45,2025-12-27T04:17:53,,36.8667
PhaseA,ColorJitter,0.5359,0.5616,42,0,36.0,2.50366,67.6,49.8778,1.905491,40,40,False,44.76,2025-12-27T04:18:38,,35.1
PhaseA,ColorJitter,0.8432,0.734,42,0,30.6,2.771573,60.5,37.4778,2.448818,40,39,False,46.22,2025-12-27T04:19:24,,30.1667
PhaseA,ColorJitter,0.4677,0.3912,42,0,36.6,2.57083,66.3,52.4556,1.830522,40,40,False,43.6,2025-12-27T04:20:08,,36.1333
PhaseA,ColorJitter,0.4851,0.7171,42,0,35.1,2.550748,67.2,48.8778,1.957657,40,40,False,46.03,2025-12-27T04:20:54,,34.6333
PhaseA,ColorJitter,0.8102,0.4083,42,0,35.9,2.575701,66.2,43.7,2.173731,40,39,False,45.24,2025-12-27T04:21:39,,35.3667
PhaseA,ColorJitter,0.5185,0.8825,42,0,34.6,2.616171,65.1,45.9,2.081558,40,39,False,48.62,2025-12-27T04:22:28,,33.6667
PhaseA,ColorJitter,0.1925,0.5421,42,0,37.8,2.463959,67.8,54.7111,1.69621,40,38,False,44.75,2025-12-27T04:23:13,,37.0667
PhaseA,ColorJitter,0.2301,0.7554,42,0,38.3,2.441289,70.1,55.5,1.685374,40,40,False,47.98,2025-12-27T04:24:01,,37.7667
PhaseA,ColorJitter,0.6559,0.5193,42,0,33.8,2.64013,63.2,46.0778,2.071927,40,40,False,45.06,2025-12-27T04:24:46,,33.3667
PhaseA,ColorJitter,0.7728,0.6263,42,0,35.0,2.637151,64.4,43.2778,2.179084,40,40,False,46.38,2025-12-27T04:25:33,,34.5333
PhaseA,ColorJitter,0.3475,0.3492,42,0,38.2,2.447711,67.9,58.1,1.619837,40,40,False,45.29,2025-12-27T04:26:18,,37.7
PhaseA,ColorJitter,0.365,0.8307,42,0,36.5,2.533124,67.4,51.7444,1.834856,40,40,False,46.69,2025-12-27T04:27:05,,35.6667
PhaseA,ColorJitter,0.7397,0.5945,42,0,33.0,2.693278,64.4,42.0333,2.235969,40,39,False,43.63,2025-12-27T04:27:49,,32.6
PhaseA,ColorJitter,0.6316,0.701,42,0,35.1,2.592131,65.5,45.1556,2.094091,40,39,False,45.76,2025-12-27T04:28:34,,34.8
PhaseA,ColorJitter,0.2575,0.4239,42,0,38.6,2.496791,67.9,56.8444,1.661734,40,40,False,43.84,2025-12-27T04:29:18,,37.1667
PhaseA,ColorJitter,0.1201,0.6418,42,0,38.8,2.448996,68.2,58.5,1.573062,40,39,False,46.96,2025-12-27T04:30:05,,37.7333
PhaseA,ColorJitter,0.594,0.333,42,0,35.8,2.495827,67.8,50.6333,1.878198,40,39,False,44.75,2025-12-27T04:30:50,,35.5667
PhaseA,ColorJitter,0.8773,0.8077,42,0,30.8,2.866376,57.7,35.6111,2.543338,40,40,False,49.26,2025-12-27T04:31:40,,30.0667
PhaseA,ColorJitter,0.4024,0.4673,42,0,38.0,2.467251,68.3,52.8889,1.775296,40,39,False,46.41,2025-12-27T04:32:26,,37.7667
PhaseA,RandomGrayscale,0.5,0.5886,42,0,33.3,2.6213,66.1,44.9333,2.148577,40,40,False,44.43,2025-12-27T04:33:11,,32.7667
PhaseA,RandomGrayscale,0.5,0.2868,42,0,37.4,2.484986,67.9,48.1,2.016957,40,39,False,43.08,2025-12-27T04:33:54,,36.8667
PhaseA,RandomGrayscale,0.5,0.4587,42,0,36.5,2.555852,67.1,45.4667,2.124135,40,40,False,42.47,2025-12-27T04:34:36,,35.8333
PhaseA,RandomGrayscale,0.5,0.1159,42,0,39.0,2.464271,68.3,52.5444,1.81721,40,39,False,39.0,2025-12-27T04:35:15,,37.6
PhaseA,RandomGrayscale,0.5,0.4838,42,0,35.8,2.580148,66.6,45.2667,2.11839,40,39,False,41.43,2025-12-27T04:35:57,,34.9333
PhaseA,RandomGrayscale,0.5,0.2406,42,0,38.3,2.474166,69.0,48.9778,1.971652,40,39,False,40.81,2025-12-27T04:36:38,,37.4333
PhaseA,RandomGrayscale,0.5,0.6501,42,0,34.5,2.659791,63.8,42.6111,2.251473,40,38,False,42.11,2025-12-27T04:37:20,,34.4
PhaseA,RandomGrayscale,0.5,0.3752,42,0,38.0,2.540645,66.7,44.4889,2.151233,40,38,False,41.64,2025-12-27T04:38:02,,37.8
PhaseA,RandomGrayscale,0.5,0.4091,42,0,35.9,2.533745,67.4,46.5444,2.085454,40,40,False,41.26,2025-12-27T04:38:43,,35.4667
PhaseA,RandomGrayscale,0.5,0.166,42,0,38.5,2.468839,68.8,51.6444,1.854229,40,40,False,40.49,2025-12-27T04:39:24,,37.5
PhaseA,RandomGrayscale,0.5,0.5748,42,0,35.2,2.623646,64.2,45.7,2.122005,40,40,False,41.42,2025-12-27T04:40:05,,34.5667
PhaseA,RandomGrayscale,0.5,0.3,42,0,36.7,2.563037,66.4,46.1889,2.084388,40,39,False,40.98,2025-12-27T04:40:46,,36.5
PhaseA,RandomGrayscale,0.5,0.6634,42,0,34.6,2.617616,65.2,44.0111,2.175979,40,39,False,42.27,2025-12-27T04:41:29,,33.8667
PhaseA,RandomGrayscale,0.5,0.3616,42,0,37.7,2.492448,68.9,45.6333,2.085525,40,39,False,41.06,2025-12-27T04:42:10,,37.1667
PhaseA,RandomGrayscale,0.5,0.534,42,0,34.7,2.624201,65.7,44.2111,2.157861,40,39,False,41.15,2025-12-27T04:42:51,,33.1667
PhaseA,RandomGrayscale,0.5,0.1912,42,0,36.6,2.512334,67.5,49.6778,1.953479,40,39,False,40.89,2025-12-27T04:43:32,,36.0
PhaseA,RandomGrayscale,0.5,0.5171,42,0,34.9,2.586844,65.8,45.2333,2.142235,40,40,False,41.47,2025-12-27T04:44:13,,34.8333
PhaseA,RandomGrayscale,0.5,0.2083,42,0,38.2,2.486375,67.6,50.8556,1.920803,40,40,False,40.62,2025-12-27T04:44:54,,37.7333
PhaseA,RandomGrayscale,0.5,0.6825,42,0,33.5,2.657028,65.4,44.7222,2.153785,40,40,False,42.25,2025-12-27T04:45:36,,33.2333
